Ano,ID,Camada,Quadrado,Nivel,MateriaPrima,Classe,Morfologia Bordos,Cortex,Localizacao,Espessura,Largura,Comprimento,Talao,Presença Labial,Secção,Acabamento Distal,Perfil,Face dorsal,Padrão,Abrasão,Tipologia Bordeana,Observações
2009,1021,C,H18,4,Sílex,Lâmina,Paralelos,<25%,Lateral-Distal,4.84,17.32,42.7,Cortical,Não,Triangular,Natural,Encurvado,2,Paralelo-Proximal,,,
2009,849,C,H17,4,Sílex,Lasca,Irregulares,75-95%,Proximal,7.67,25.31,29.58,Cortical,Não,Triangular,Natural,Direito,3,Paralelo-Distal,,,
2009,818,C,I17,3,Quartzo,Lamela,Paralelos,Sem-Cortex,,1.7,5.24,14.21,Linear,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,930,C,H18,4,Sílex,Lasca,Paralelos,<25%,Lateral,4.23,18.68,33.72,Liso,Não,Trapezoidal,Natural,Direito,4,Paralelo-Proximal,,,
2009,1768,C,I16,5,Quartzo,Lasca,Divergentes,25-75%,Lateral,13.79,41.83,42.67,Outro,Não,Trapezoidal,Natural,Direito,2,Não-Indentificável,,,
2009,978,C,H17,5,Sílex,Lasca-Distal,Irregulares,75-95%,Mesial,4.15,21.39,,,,Direita,Ressalto,Direito,2,Bidireccional-Paralelo,,,
2009,523,C,H17,2,Sílex,Lasca,Irregulares,Total,,13.29,26.7,42.31,Cortical,Não,Irregular,Natural,Irregular,,,,,
2009,1300,C,I16,4,Sílex,Lasca-Distal,Irregulares,75-95%,Distal,1.2,20.75,,,,Direita,Natural,Encurvado,1,Paralelo-Proximal,,,inclusões pretas
2009,1161,C,I16,4,Sílex,Lasca,Biconvexos,Sem-Cortex,,4.38,11.63,20.28,Liso,Não,Trapezoidal,Natural,Direito,4,Paralelo-Proximal,,,
2009,1066,C,I16,2,Sílex,Lasca-Proximal,,Sem-Cortex,,2.31,13.05,,Esmagado,Não,Triangular,,Encurvado,3,Paralelo-Proximal,,,
2009,1449,C,G18,6,Outra,Lasca-Distal,Irregulares,Sem-Cortex,,7.2,32.54,,,,Trapezoidal,Natural,Direito,3,Paralelo-Proximal,,,Calcário
2009,1028,C,K15,3,Quartzo,Lasca,Irregulares,Sem-Cortex,,3.19,26.63,25.63,Esmagado,Não,Irregular,Natural,Direito,4,Radial,,,
2009,595,C,G17,2,Quartzo,Lasca,Divergentes,Total,,19.35,39.52,28.23,Cortical,Não,Irregular,Natural,Direito,,,,,
2009,1645,C,J15,3,Sílex,Lamela,Paralelos,25-75%,Lateral,3.37,10.86,32.49,Cortical,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,2038,C,I17,5,Grauvaque,Lasca,Irregulares,75-95%,,9.68,35.54,26.15,Cortical,Não,Direita,Natural,Direito,1,Não-Indentificável,,,
2009,686,C,I17,8,Sílex,Lâmina,Irregulares,Sem-Cortex,,5.08,13.57,34.06,Diedro,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,1918,C,I16,5,Quartzo,Lasca,Convergentes,Sem-Cortex,,18.47,36.49,34.13,Cortical,Não,Irregular,Natural,Direito,3,Paralelo-Proximal,,,
2009,1926,C,I16,5,Sílex,Lasca-Proximal,Divergentes,Sem-Cortex,,3.71,21.48,,Liso,Não,Triangular,,Direito,2,Paralelo-Proximal,,,
2009,1728,C,I16,5,Grauvaque,Lasca-Proximal,Divergentes,Sem-Cortex,,7.16,24.13,,Liso,Não,Triangular,,Direito,2,Paralelo-Proximal,,,
2009,142,C,H18,2,Sílex,Lasca,Convergentes,Sem-Cortex,,3.66,11.01,20.91,Liso,Não,Triangular,Apontado,Torcido,2,Paralelo-Proximal,,,
2009,2019,C,I17,5,Grauvaque,Lasca,Divergentes,Total,,23.56,78.75,34,Cortical,Não,Trapezoidal,Natural,Direito,,,,,
2009,374,C,H17,4,Sílex,Lasca,Divergentes,<25%,Distal,8.62,25.05,,,,Triangular,Natural,Encurvado,3,Paralelo-Proximal,,,inclusões pretas
2009,1791,C,I16,5,Grauvaque,Bigorna,Circular,Total,,45.02,81.09,,,,,,,,,,,
2009,819,C,I17,3,Sílex,Lamela,Paralelos,75-95%,Lateral,2.42,9.84,27.42,Liso,Não,Triangular,Natural,Direito,1,Paralelo-Proximal,,,
2009,124,C,H17,2,Sílex,Lasca,Irregulares,Total,,7.13,21.51,34.57,Liso,Não,Triangular,Natural,Torcido,,,,,
2009,1169,C,I16,4,Sílex,Lamela,Paralelos,25-75%,Lateral,4.6,9.56,40.28,Liso,Não,Triangular,Natural,Torcido,2,Paralelo-Proximal,,,
2009,1508,C,H17,6,Sílex,Lasca,Irregulares,<25%,Proximal,5.08,43.46,48.57,Cortical,Não,Direita,Natural,Direito,1,Paralelo-Proximal,,,
2009,C645,C,G18,4,Sílex,Lasca,Paralelos,<25%,Lateral-Distal,5.96,20.16,23.9,Liso,Não,Trapezoidal,Natural,Direito,3,Paralelo-Proximal,,R,
